"supportprojectstatuslogid","previousstatus","currentstatus","startdate","enddate","reason","additionalinfo","supportprojectstatuslog2supportproject","changetype"
304,1,4,"2019-02-27","2019-05-25",NULL,NULL,115,0
442,5,6,"2019-05-25","2019-05-27",NULL,NULL,115,0
446,6,8,"2019-05-27",NULL,NULL,NULL,115,0
296,1,3,"2019-02-21","2019-10-03",NULL,NULL,116,0
592,4,3,"2019-10-03","2020-02-07",NULL,NULL,116,0
823,4,3,"2020-02-07",NULL,NULL,NULL,116,0
308,1,4,"2019-02-28",NULL,NULL,NULL,117,0
1180,4,5,"2020-05-26","2020-05-26",NULL,NULL,117,0
1186,5,6,"2020-05-26","2020-07-30",NULL,NULL,117,0
1355,6,8,"2020-07-30",NULL,NULL,NULL,117,0
1178,1,3,"2020-05-26",NULL,NULL,NULL,118,0
411,1,9,"2019-05-10",NULL,1,NULL,119,1
299,0,1,"2019-02-26","2019-08-30",NULL,NULL,120,0
523,1,3,"2019-08-30",NULL,NULL,NULL,120,0
323,1,3,"2019-03-07","2019-07-10",NULL,NULL,121,0
494,3,4,"2019-07-10","2019-09-06",NULL,NULL,121,0
530,4,6,"2019-09-06","2019-09-25",NULL,NULL,121,0
